website,name,link,salary_min,salary_max,salary_currency,employer,address
hh.ru,Data Scientist (Sber AI Lab: Applied Research),https://spb.hh.ru/vacancy/55299103,220000.0,230000.0,руб,Сбер для экспертов,Москва
hh.ru,Data Scientist в области рекомендательных систем,https://spb.hh.ru/vacancy/54682944,,,,Сбер. IT,Москва
hh.ru,Senior data scientist,https://spb.hh.ru/vacancy/54418768,,,,АО Банк ДОМ.РФ,Москва
hh.ru,Data Scientist,https://spb.hh.ru/vacancy/49423067,,380000.0,руб,Точка,Москва
hh.ru,Аналитик данных / Data scientist,https://spb.hh.ru/vacancy/54970300,130000.0,180000.0,руб,MNOGOGAMES,Рязань
hh.ru,Аналитик данных / Data Scientist,https://spb.hh.ru/vacancy/55567683,,,,ЭКОПСИ Консалтинг,"Москва, Дмитровская"
hh.ru,Data scientist (Junior/Middle) в консалтинг,https://spb.hh.ru/vacancy/55074464,,,,ООО БСТ Менеджмент-Консалтинг,Москва
hh.ru,Junior Data Scientist (Стажер),https://spb.hh.ru/vacancy/55553897,,37000.0,руб,ПАО КБ «Уральский банк реконструкции и развития» (УБРиР),"Екатеринбург, Площадь 1905 года"
hh.ru,Junior Data scientist/ Младший риск-аналитик,https://spb.hh.ru/vacancy/54882705,,,,Pay P.S.,"Москва, Динамо и еще 1 "
hh.ru,Аналитик данных (Data Scientist),https://spb.hh.ru/vacancy/55514389,100000.0,200000.0,руб,Интеллектуальные решения,Москва
hh.ru,Data Scientist,https://spb.hh.ru/vacancy/54659098,,,,ООО СтандартПроект,Москва
hh.ru,Data scientist / Product analyst,https://spb.hh.ru/vacancy/54786210,200000.0,250000.0,руб,Bip.ru,"Москва, Бауманская"
hh.ru,"Математик, Junior/Middle/Senior Data Scientist",https://spb.hh.ru/vacancy/55529384,,,,Представительство ООО «Квалитет» (Российская Федерация) в РБ,"Минск, Академия наук"
hh.ru,Математик-аналитик (data scientist / data analyst),https://spb.hh.ru/vacancy/55552998,98000.0,,руб,ООО ННФормат,Санкт-Петербург
hh.ru,Junior Data Scientist,https://spb.hh.ru/vacancy/55145641,50000.0,,руб,Улыбка радуги,Санкт-Петербург
hh.ru,Data Scientist (Marketplace Efficiency),https://spb.hh.ru/vacancy/55485778,,,,inDriver,Москва
hh.ru,Data Scientist на продукт скоринг,https://spb.hh.ru/vacancy/55536655,,,,"ПАО «МТС», IT","Москва, Технопарк"
hh.ru,Data Scientist в Data Accelerator (ML),https://spb.hh.ru/vacancy/55098469,,,,Леруа Мерлен. Центральный офис,Москва
hh.ru,Data Analyst/Data Scientist,https://spb.hh.ru/vacancy/54718893,,,,ООО Лайфтех,Минск
hh.ru,Data Scientist/ML,https://spb.hh.ru/vacancy/55463028,,,,Банк Хоум Кредит,Москва
hh.ru,ML Engineer / Data Scientist,https://spb.hh.ru/vacancy/54766218,,,,ООО Эр-1,Москва
hh.ru,"Data Scientist, Junior",https://spb.hh.ru/vacancy/52396404,,,,ООО Диплей,Омск
hh.ru,Senior Data Scientist (computer vision),https://spb.hh.ru/vacancy/54717873,,,,inDriver,Москва
hh.ru,Бизнес-аналитик в Data science,https://spb.hh.ru/vacancy/55517668,,,,Сбер. Data Science,"Москва, Кутузовская и еще 1 "
hh.ru,Data scientist по построению моделей оценки кредитного риска (Big Data),https://spb.hh.ru/vacancy/43366306,,,,Банк ВТБ (ПАО),"Москва, Выставочная и еще 2 "
hh.ru,Data Engineer (MTS AI),https://spb.hh.ru/vacancy/55100061,,,,"ПАО «МТС», IT","Москва, Курская и еще 2 "
hh.ru,Senior Data Scientist,https://spb.hh.ru/vacancy/55458328,2000.0,3000.0,USD,Pre-Interviews,Москва
hh.ru,Data Scientist,https://spb.hh.ru/vacancy/54961474,,,,ООО МВС ГРУП,Москва
hh.ru,Data Scientist,https://spb.hh.ru/vacancy/54588461,,,,Бланк – банк для бизнеса,"Москва, Верхние Котлы и еще 1 "
hh.ru,Data scientist / Machine learning engineer (команда CoreML ВКонтакте),https://spb.hh.ru/vacancy/50605612,,,,VK,"Санкт-Петербург, Гостиный двор и еще 1 "
hh.ru,Senior Data Scientist (Antifraud),https://spb.hh.ru/vacancy/54789914,,,,inDriver,"Москва, Белорусская"
hh.ru,Data Scientist,https://spb.hh.ru/vacancy/54753402,250000.0,300000.0,руб,ООО Кловер Групп,"Москва, Шаболовская"
hh.ru,Data Scientist,https://spb.hh.ru/vacancy/51611398,,,,ООО Эр-1,Москва
hh.ru,Data Scientist (Remote),https://spb.hh.ru/vacancy/55415075,,,,ООО АБК,Москва
hh.ru,Data Scientist,https://spb.hh.ru/vacancy/54908640,,,,ООО НТехЛаб,"Москва, Белорусская и еще 2 "
hh.ru,Data Scientist,https://spb.hh.ru/vacancy/55357367,200000.0,300000.0,руб,"Hi, Rockits!",Санкт-Петербург
hh.ru,Lead Data Scientist,https://spb.hh.ru/vacancy/55474355,,,,Сбер. Data Science,Москва
hh.ru,Data Scientist/Математик,https://spb.hh.ru/vacancy/55367723,119000.0,,руб,Igor Polyakov Consulting,Новосибирск
