website,name,link,salary_min,salary_max,salary_currency,employer,address
superjob.ru,Data Engineer,https://www.superjob.ru/vakansii/data-engineer-43099490.html,,,,«Центр изучения и сетевого мониторинга молодежной среды»,Москва
superjob.ru,Старший аналитик (Data Science),https://www.superjob.ru/vakansii/starshij-analitik-42875677.html,,,,Национальная транспортная ассоциация,Санкт-Петербург
superjob.ru,Data Engineer,https://www.superjob.ru/vakansii/data-engineer-37254530.html,,,,SuperJob,"Москва, Маяковская и ещё 2 станции"
superjob.ru,Data Engineer,https://www.superjob.ru/vakansii/data-engineer-42476910.html,,,,ЭнергосбыТ Плюс,Оренбург
superjob.ru,Data scientist / Исследователь-программист данных,https://www.superjob.ru/vakansii/data-scientist-43155246.html,,172000.0,руб,Московский завод тепловой автоматики,Москва
superjob.ru,Project Manager (DWH)/Data Platform,https://www.superjob.ru/vakansii/project-manager-43153073.html,,,,Andersen,Астана / Нур-Султан
superjob.ru,Data Scientist,https://www.superjob.ru/vakansii/data-scientist-43006361.html,,,,СтандартПроект,"Москва, Таганская"
superjob.ru,JavaScript developer,https://www.superjob.ru/vakansii/javascript-developer-42994638.html,160000.0,180000.0,руб,Ваша кадровая служба,Санкт-Петербург
superjob.ru,Golang Developer,https://www.superjob.ru/vakansii/golang-developer-43100849.html,,,,Andersen,Алматы
superjob.ru,Senior Back-End Developer (Java + Kotlin),https://www.superjob.ru/vakansii/senior-back-end-developer-42993193.html,365000.0,410000.0,руб,IESF Group,Киев
superjob.ru,BIM-менеджер,https://www.superjob.ru/vakansii/bim-menedzher-43097626.html,,,,Кайрос Инжиниринг,Пермь
superjob.ru,Разработчик Android,https://www.superjob.ru/vakansii/razrabotchik-android-43093262.html,100000.0,,руб,Технологии и сервис,Набережные Челны
superjob.ru,QA-engineer / WEB-developer,https://www.superjob.ru/vakansii/qa-engineer-40808938.html,100000.0,,руб,Perfect Systems,Киев
superjob.ru,M&A Analyst (Oil & Gas),https://www.superjob.ru/vakansii/m-43092748.html,,,,Engine,Москва
superjob.ru,Менеджер по работе с корпоративными клиентами В2В,https://www.superjob.ru/vakansii/menedzher-po-rabote-s-korporativnymi-klientami-v2v-42242742.html,60000.0,70000.0,руб,МТС,Хабаровск
superjob.ru,Разработчик IBM Integration Bus,https://www.superjob.ru/vakansii/razrabotchik-ibm-integration-bus-43172991.html,,,,Cетелем банк,"Москва, Савеловская"
superjob.ru,Ведущий менеджер по продажам корпоративным клиентам,https://www.superjob.ru/vakansii/veduschij-menedzher-po-prodazham-korporativnym-klientam-31549424.html,100000.0,,руб,Билайн,Москва
superjob.ru,Менеджер проектов,https://www.superjob.ru/vakansii/menedzher-proektov-43080126.html,50000.0,75000.0,руб,Кадровое агентство H-VAN,Москва
superjob.ru,Java developer,https://www.superjob.ru/vakansii/java-developer-42894860.html,,,,АГИМА,Москва
superjob.ru,Data Engineer,https://www.superjob.ru/vakansii/data-engineer-43099490.html,,,,«Центр изучения и сетевого мониторинга молодежной среды»,Москва
superjob.ru,Старший аналитик (Data Science),https://www.superjob.ru/vakansii/starshij-analitik-42875677.html,,,,Национальная транспортная ассоциация,Санкт-Петербург
superjob.ru,Data Engineer,https://www.superjob.ru/vakansii/data-engineer-37254530.html,,,,SuperJob,"Москва, Маяковская и ещё 2 станции"
superjob.ru,Data Engineer,https://www.superjob.ru/vakansii/data-engineer-42476910.html,,,,ЭнергосбыТ Плюс,Оренбург
superjob.ru,Data scientist / Исследователь-программист данных,https://www.superjob.ru/vakansii/data-scientist-43155246.html,,172000.0,руб,Московский завод тепловой автоматики,Москва
superjob.ru,Project Manager (DWH)/Data Platform,https://www.superjob.ru/vakansii/project-manager-43153073.html,,,,Andersen,Астана / Нур-Султан
superjob.ru,Data Scientist,https://www.superjob.ru/vakansii/data-scientist-43006361.html,,,,СтандартПроект,"Москва, Таганская"
superjob.ru,JavaScript developer,https://www.superjob.ru/vakansii/javascript-developer-42994638.html,160000.0,180000.0,руб,Ваша кадровая служба,Санкт-Петербург
superjob.ru,Golang Developer,https://www.superjob.ru/vakansii/golang-developer-43100849.html,,,,Andersen,Алматы
superjob.ru,Senior Back-End Developer (Java + Kotlin),https://www.superjob.ru/vakansii/senior-back-end-developer-42993193.html,365000.0,410000.0,руб,IESF Group,Киев
superjob.ru,BIM-менеджер,https://www.superjob.ru/vakansii/bim-menedzher-43097626.html,,,,Кайрос Инжиниринг,Пермь
superjob.ru,Разработчик Android,https://www.superjob.ru/vakansii/razrabotchik-android-43093262.html,100000.0,,руб,Технологии и сервис,Набережные Челны
superjob.ru,QA-engineer / WEB-developer,https://www.superjob.ru/vakansii/qa-engineer-40808938.html,100000.0,,руб,Perfect Systems,Киев
superjob.ru,M&A Analyst (Oil & Gas),https://www.superjob.ru/vakansii/m-43092748.html,,,,Engine,Москва
superjob.ru,Менеджер по работе с корпоративными клиентами В2В,https://www.superjob.ru/vakansii/menedzher-po-rabote-s-korporativnymi-klientami-v2v-42242742.html,60000.0,70000.0,руб,МТС,Хабаровск
superjob.ru,Разработчик IBM Integration Bus,https://www.superjob.ru/vakansii/razrabotchik-ibm-integration-bus-43172991.html,,,,Cетелем банк,"Москва, Савеловская"
superjob.ru,Ведущий менеджер по продажам корпоративным клиентам,https://www.superjob.ru/vakansii/veduschij-menedzher-po-prodazham-korporativnym-klientam-31549424.html,100000.0,,руб,Билайн,Москва
superjob.ru,Менеджер проектов,https://www.superjob.ru/vakansii/menedzher-proektov-43080126.html,50000.0,75000.0,руб,Кадровое агентство H-VAN,Москва
superjob.ru,Java developer,https://www.superjob.ru/vakansii/java-developer-42894860.html,,,,АГИМА,Москва
superjob.ru,Java Developer Remote,https://www.superjob.ru/vakansii/java-developer-remote-43185907.html,,,,Andersen,Алматы
superjob.ru,Senior Back-End Engineer (Java+Kotlin),https://www.superjob.ru/vakansii/senior-back-end-engineer-42993122.html,365000.0,410000.0,руб,IESF Group,Москва
superjob.ru,IOS Developer,https://www.superjob.ru/vakansii/ios-developer-43177801.html,180000.0,240000.0,руб,Ваша кадровая служба,Санкт-Петербург
superjob.ru,Инженер-проектировщик систем электроснабжения,https://www.superjob.ru/vakansii/inzhener-proektirovschik-sistem-elektrosnabzheniya-43092431.html,,,,Кайрос Инжиниринг,Пермь
superjob.ru,Старший специалист по продажам корпоративным клиентам,https://www.superjob.ru/vakansii/starshij-specialist-po-prodazham-korporativnym-klientam-38941365.html,70000.0,,руб,Билайн,Нижний Новгород
superjob.ru,Менеджер по работе с малым и средним бизнесом,https://www.superjob.ru/vakansii/menedzher-po-rabote-s-malym-i-srednim-biznesom-42242207.html,60000.0,80000.0,руб,МТС,Хабаровск
superjob.ru,Team lead IOS Developer,https://www.superjob.ru/vakansii/team-lead-ios-developer-43160932.html,,,,Involta,Иваново
superjob.ru,Специалист Java-разработчик,https://www.superjob.ru/vakansii/specialist-java-razrabotchik-43160084.html,252000.0,319000.0,руб,RostJob,Москва
superjob.ru,Программист 1С/Инженер-программист,https://www.superjob.ru/vakansii/programmist-1s-42173136.html,120000.0,,руб,Образовательное учреждение,"Москва, Славянский бульвар, Преображенская площадь"
superjob.ru,Java-разработчик,https://www.superjob.ru/vakansii/java-razrabotchik-43020389.html,80000.0,100000.0,руб,НПФ ДатаКрат-С,"Новосибирск, Студенческая"
superjob.ru,Ведущий IOS разработчик / Функциональный лидер,https://www.superjob.ru/vakansii/veduschij-ios-razrabotchik-43135763.html,,,,Kapital Bank,Баку
superjob.ru,Инженер по поддержанию и развитию IT инфраструктуры,https://www.superjob.ru/vakansii/inzhener-po-podderzhaniyu-i-razvitiyu-it-infrastruktury-42701976.html,,,,Технопарк «Сколково»,Москва
superjob.ru,Ведущий специалист по технологии переработки газа и серы,https://www.superjob.ru/vakansii/veduschij-specialist-po-tehnologii-pererabotki-gaza-i-sery-41924281.html,,,,Surhan Gas Chemical Operating Company,Ташкент
superjob.ru,Android разработчик Junior+ / Middle,https://www.superjob.ru/vakansii/android-razrabotchik-junior-43006363.html,,,,СтандартПроект,"Москва, Таганская"
superjob.ru,.NET Full Stack Developer (релокация в Грузию),https://www.superjob.ru/vakansii/net-full-stack-developer-43062096.html,,280000.0,руб,КонсалтПро,Москва
superjob.ru,Бизнес-аналитик / Аналитик по оптимизации и стандартизации бизнес-процессов по внедрению amoCRM,https://www.superjob.ru/vakansii/biznes-analitik-42997666.html,40000.0,,руб,Цифровой форсаж,Пермь
superjob.ru,Quantitative Researcher (релокация в Армению),https://www.superjob.ru/vakansii/quantitative-researcher-43054353.html,,,,Тор,Москва
superjob.ru,Региональный менеджер по продажам,https://www.superjob.ru/vakansii/regionalnyj-menedzher-po-prodazham-43091594.html,50000.0,,руб,Кайрос Инжиниринг,Пермь
superjob.ru,Специалист по тендерам,https://www.superjob.ru/vakansii/specialist-po-tenderam-43070276.html,40000.0,,руб,Кайрос Инжиниринг,Пермь
superjob.ru,QA Automation Engineer (Java),https://www.superjob.ru/vakansii/qa-automation-engineer-43165166.html,,,,Andersen,Алматы
superjob.ru,Ведущий юрист,https://www.superjob.ru/vakansii/veduschij-yurist-43069639.html,,,,Кайрос Инжиниринг,Пермь
superjob.ru,Менеджер по работе с крупным бизнесом,https://www.superjob.ru/vakansii/menedzher-po-rabote-s-krupnym-biznesom-37480459.html,60000.0,,руб,МТС,Хабаровск
superjob.ru,Magento Developer,https://www.superjob.ru/vakansii/magento-developer-43165734.html,,,,Andersen,Астана / Нур-Султан
superjob.ru,Software Architect Remote,https://www.superjob.ru/vakansii/software-architect-remote-43153114.html,,,,Andersen,Астана / Нур-Султан
superjob.ru,UI/UX Designer,https://www.superjob.ru/vakansii/ui-43153103.html,,,,Andersen,Алматы
superjob.ru,Adobe Experience Manager / Front-end Developer,https://www.superjob.ru/vakansii/adobe-experience-manager-43141694.html,,,,Andersen,Астана / Нур-Султан
superjob.ru,Java-разработчик,https://www.superjob.ru/vakansii/java-razrabotchik-42938831.html,200000.0,,руб,Ваша кадровая служба,Екатеринбург
superjob.ru,Front-end Developer (Angular),https://www.superjob.ru/vakansii/front-end-developer-43128656.html,,,,Andersen,Алматы
superjob.ru,System Engineer (DevOps),https://www.superjob.ru/vakansii/system-engineer-43128663.html,,,,Andersen,Астана / Нур-Султан
superjob.ru,Linux Kernel Developer Remote,https://www.superjob.ru/vakansii/linux-kernel-developer-remote-43128660.html,,,,Andersen,Астана / Нур-Султан
superjob.ru,Solution Architect,https://www.superjob.ru/vakansii/solution-architect-43128150.html,,,,Andersen,Алматы
superjob.ru,Python Developer Remote,https://www.superjob.ru/vakansii/python-developer-remote-43125243.html,,,,Andersen,Астана / Нур-Султан
superjob.ru,Golang Developer,https://www.superjob.ru/vakansii/golang-developer-43008945.html,200000.0,250000.0,руб,Ваша кадровая служба,Санкт-Петербург
superjob.ru,Технический писатель,https://www.superjob.ru/vakansii/tehnicheskij-pisatel-43006414.html,100000.0,,руб,СтандартПроект,"Москва, Таганская"
superjob.ru,Backend разработчик Java,https://www.superjob.ru/vakansii/backend-razrabotchik-java-43006468.html,,,,СтандартПроект,"Москва, Таганская"
superjob.ru,Ведущий специалист по автотестированию,https://www.superjob.ru/vakansii/veduschij-specialist-po-avtotestirovaniyu-42352152.html,200000.0,250000.0,руб,КонсалтПро,Москва
